winpercent,oppwinpercent,weather,temperature,numinjured,oppnuminjured,startingpitcher,oppstartingpitcher,dayssincegame,oppdayssincegame,homeaway,rundifferential,opprundifferential,winner
0.631525163523,0.695949481058,0,57.7814365153,2.0,2.0,1,4,3.0,3.0,1,87.0,38.0,Good
0.719956621191,0.32803191027,-1,55.9828201863,1.0,2.0,4,2,1.0,2.0,1,64.0,48.0,Bad
0.335459911165,0.372360254623,0,78.1332309587,3.0,3.0,3,3,3.0,2.0,1,48.0,33.0,Good
0.243791063362,0.46096894137,0,63.7922326888,2.0,1.0,1,5,3.0,3.0,1,49.0,10.0,Good
0.475528617333,0.386411773238,0,67.4833377623,2.0,2.0,4,5,4.0,2.0,0,70.0,52.0,Good
0.603071027234,0.817082547582,0,50.2352199007,1.0,1.0,3,3,1.0,3.0,1,32.0,40.0,Good
0.61103786045,0.516471011367,-1,67.6066874747,1.0,2.0,3,5,3.0,1.0,0,23.0,52.0,Bad
0.70524805594,0.791832154683,0,65.0463539019,1.0,2.0,5,3,2.0,3.0,0,55.0,42.0,Bad
0.519099156209,0.376200026019,1,60.2738227594,3.0,1.0,3,5,2.0,2.0,1,31.0,31.0,Good
0.347834318348,0.110576921289,1,56.9719496142,0.0,3.0,5,2,1.0,4.0,1,50.0,60.0,Bad
0.531040775302,0.615371692818,0,64.8148344898,2.0,-1.0,5,1,2.0,1.0,1,55.0,76.0,Good
0.450109134642,0.75722897791,0,71.9581958995,2.0,1.0,4,3,3.0,2.0,1,63.0,51.0,Good
0.36085381354,0.718195629328,1,59.1004941785,1.0,2.0,3,2,3.0,3.0,1,40.0,52.0,Bad
0.57163943383,0.41194465617,0,64.1784121115,1.0,2.0,1,3,3.0,3.0,1,54.0,66.0,Bad
0.259863840412,0.398497463552,0,67.7878246739,1.0,1.0,4,3,2.0,2.0,1,49.0,7.0,Good
0.435034594494,0.348013015145,1,77.7560813615,2.0,2.0,1,4,2.0,2.0,0,55.0,38.0,Good
0.238927396373,0.621402510874,1,68.7146415834,2.0,1.0,1,2,1.0,1.0,0,25.0,10.0,Good
0.494077653731,0.634433356077,1,66.7229501776,-1.0,3.0,3,2,1.0,3.0,1,58.0,46.0,Bad
0.757824247443,0.411196825881,-1,66.5677234723,1.0,1.0,2,4,2.0,3.0,1,24.0,23.0,Good
0.366007517001,0.290062510225,-1,77.6033107703,0.0,1.0,1,3,4.0,1.0,0,64.0,50.0,Bad
0.237215374182,0.551628157002,1,51.5968713444,1.0,1.0,2,5,4.0,4.0,0,62.0,59.0,Good
0.600351301623,0.0507335197656,0,74.2671779444,2.0,3.0,3,4,3.0,2.0,1,53.0,51.0,Bad
0.563637058628,0.21554342284,0,74.2649559731,0.0,0.0,2,4,3.0,1.0,0,62.0,56.0,Bad
0.865287826432,0.597172612734,0,63.9148550314,1.0,1.0,4,5,5.0,4.0,0,63.0,30.0,Good
0.598713697707,0.588394847165,0,61.1912372376,2.0,2.0,2,1,3.0,4.0,0,91.0,17.0,Good
0.689737144403,0.565915138224,1,58.1591583802,1.0,2.0,5,2,4.0,2.0,0,23.0,51.0,Bad
0.591701356586,0.487105218487,1,72.6929581787,3.0,1.0,2,5,4.0,2.0,0,36.0,30.0,Good
0.526752970064,0.184879846702,1,65.3902754104,1.0,4.0,1,4,3.0,2.0,0,9.0,84.0,Bad
0.394738961235,0.252903411553,-1,72.5831517583,1.0,4.0,5,5,2.0,3.0,1,65.0,9.0,Good
0.481531516619,0.699252527536,0,53.2788425893,2.0,2.0,4,2,3.0,3.0,0,29.0,31.0,Good
0.555021214111,0.748283133607,0,70.1161994746,0.0,3.0,1,4,3.0,2.0,0,28.0,38.0,Bad
0.60863842516,0.198839867482,-1,63.3013742136,1.0,1.0,5,3,4.0,2.0,1,63.0,53.0,Bad
0.613728928908,0.702872007071,0,74.0975662469,3.0,0.0,3,4,1.0,2.0,0,60.0,51.0,Good
0.804993008295,0.118762150008,0,70.8538589484,0.0,2.0,1,1,3.0,1.0,1,28.0,16.0,Good
0.0167202556897,0.489635810386,0,54.3109896443,2.0,2.0,5,1,1.0,1.0,0,24.0,55.0,Good
0.527958029733,0.852544860157,0,71.1654137597,2.0,2.0,5,5,2.0,2.0,1,54.0,43.0,Good
0.655949254173,0.400665864824,1,55.0213718661,1.0,0.0,2,5,2.0,2.0,1,82.0,68.0,Good
0.791277530239,0.391343805479,1,75.3999027658,1.0,2.0,3,5,2.0,2.0,1,72.0,36.0,Bad
0.0568676687613,0.143378635098,1,60.0945328562,2.0,2.0,1,3,2.0,4.0,1,48.0,50.0,Good
0.621786794144,0.882688232768,1,65.5426794425,0.0,2.0,1,2,3.0,2.0,1,55.0,42.0,Bad
0.557617270943,0.440138153106,-1,60.4216852675,0.0,2.0,3,5,2.0,3.0,1,18.0,56.0,Bad
0.835339135631,0.458912130778,1,64.8700413012,1.0,0.0,3,4,2.0,2.0,0,77.0,27.0,Good
